"scientific_name","longitude","latitude","group"
"background",-7.75,42.75,1
"background",11.25,50.25,4
"background",15.75,45.75,2
"background",14.25,40.25,2
"background",-6.75,40.25,1
"background",11.25,39.25,2
"background",14.75,46.25,4
"background",14.25,38.25,2
"background",3.25,40.25,2
"background",0.75,44.25,2
"background",20.25,38.75,2
"background",-0.75,40.75,2
"background",9.75,37.25,2
"background",20.25,44.75,2
"background",1.25,48.25,3
"background",-1.75,40.75,1
"background",9.25,41.25,2
"background",5.25,44.25,2
"background",-3.25,38.25,1
"background",17.25,44.75,2
"background",-8.75,39.75,1
"background",11.75,47.25,4
"background",24.25,39.25,2
"background",-4.25,44.25,1
"background",11.75,43.75,2
"background",16.75,43.25,2
"background",16.75,48.75,4
"background",-2.25,44.25,1
"background",12.25,44.25,2
"background",4.25,51.25,3
"background",-1.75,39.25,1
"background",8.75,37.25,2
"background",18.25,37.25,2
"background",2.75,40.25,2
"background",9.75,39.75,2
"background",-0.75,41.25,2
"background",-6.75,38.25,1
"background",7.75,40.75,2
"background",-3.25,37.25,1
"background",11.75,45.25,2
"background",14.75,42.75,2
"background",15.75,50.75,4
"background",3.25,39.75,2
"background",10.25,39.75,2
"background",-2.25,36.25,1
"background",9.75,49.75,4
"background",16.25,44.25,2
"background",7.75,46.75,3
"background",25.25,42.75,2
"background",14.75,41.25,2
"background",-8.75,43.25,1
"background",12.75,44.25,2
"background",5.25,43.25,2
"background",12.25,49.25,4
"background",18.25,37.75,2
"background",-0.75,35.75,2
"background",19.75,43.25,2
"background",9.75,36.75,2
"background",14.25,36.75,2
"background",10.75,46.75,4
"background",-0.25,47.75,3
"background",12.75,40.25,2
"background",3.25,36.75,2
"background",13.25,37.75,2
"background",4.75,47.25,3
"background",-0.75,47.75,3
"background",11.25,52.25,4
"background",10.25,41.75,2
"background",10.75,45.25,2
"background",22.75,44.25,2
"background",4.25,50.25,3
"background",5.25,51.25,3
"background",2.25,39.75,2
"background",-4.25,39.25,1
"background",14.25,41.25,2
"background",15.25,47.75,4
"background",-4.75,40.25,1
"background",2.75,48.25,3
"background",25.75,42.25,2
"background",6.75,45.25,2
"background",3.75,39.25,2
"background",-8.25,42.25,1
"background",-5.75,35.75,1
"background",-1.25,47.75,3
"background",11.25,46.75,4
"background",16.75,42.75,2
"background",19.25,37.75,2
"background",15.75,38.25,2
"background",-2.75,40.75,1
"background",13.75,50.75,4
"background",8.25,45.75,2
"background",11.75,36.75,2
"background",-2.75,46.25,3
"background",23.25,41.75,2
"background",15.25,37.25,2
"background",20.25,46.25,4
"background",10.75,48.25,4
"background",-5.25,36.75,1
"background",17.25,49.75,4
"background",-3.75,36.25,1
"background",4.75,50.75,3
"background",-4.25,39.75,1
"background",12.25,47.25,4
"background",-2.75,43.75,1
"background",5.25,41.75,2
"background",10.25,46.75,4
"background",8.75,44.25,2
"background",9.25,44.75,2
"background",-8.75,42.75,1
"background",6.75,46.25,3
"background",-1.75,45.25,1
"background",-8.75,42.25,1
"background",-1.25,49.25,3
"background",7.75,41.25,2
"background",3.75,49.25,3
"background",20.75,41.75,2
"background",12.25,48.75,4
"background",13.25,49.25,4
"background",5.75,48.25,3
"background",15.75,46.75,4
"background",11.25,51.25,4
"background",1.75,40.25,2
"background",12.75,49.25,4
"background",-3.75,42.25,1
"background",-4.25,41.75,1
"background",15.25,49.75,4
"background",7.75,38.25,2
"background",1.25,44.75,2
"background",16.25,46.75,4
"background",2.75,41.25,2
"background",-5.75,42.75,1
"background",7.25,42.75,2
"background",24.25,41.75,2
"background",-4.75,44.25,1
"background",-5.25,45.75,1
"background",12.25,46.25,4
"background",-2.75,36.25,1
"background",-2.75,45.25,1
"background",11.75,51.25,4
"background",16.25,37.75,2
"background",0.75,45.25,2
"background",6.25,38.75,2
"background",18.25,48.25,4
"background",3.75,43.75,2
"background",-2.25,40.25,1
"background",6.25,36.75,2
"background",9.75,45.25,2
"background",25.25,41.75,2
"background",12.75,48.25,4
"background",-8.25,39.25,1
"background",23.75,44.25,2
"background",2.75,38.75,2
"background",24.25,42.25,2
"background",18.25,48.75,4
"background",20.75,48.25,4
