system:index,bio01,bio02,bio04,bio05,bio06,bio12,bio15,coordinat0,coordinat1,dem,gbifID,taxonKey,X,Y
1568,17.9015617370605,1.13210940361023,33.337890625,2.87015628814697,0.795703113079071,380.6796875,97.61328125,50,,99.1194076538086,2445096406,3189866,-118.35582794322,34.0637997807448
1587,1.40625,1,134.2734375,2.56050777435303,-2.18171882629395,379.89453125,45.9921875,50,,99.6628723144531,2350404584,3189866,73.5476591874583,54.5715310399193
1594,9.72096633911133,0.859999299049377,45.5003890991211,2.1650083065033,0.0177190750837326,876.625671386719,42.9678153991699,50,,19.7980632781982,2311448412,3189866,-122.596419667744,48.8324004380712
000000000000000015ab,7.50468730926514,0.9081249833107,114.107574462891,2.90906238555908,-1.15417969226837,393.03515625,19.87109375,50,,166.585983276367,2283072950,3189866,43.8045499634604,49.1510611766536
0000000000000000164f,,,,,,,,50,,,1801522272,3189866,14.6300385511917,56.0650801831646
1651,5.81171894073486,0.801601588726044,69.5045700073242,2.09273433685303,-0.687734365463257,621.796875,26.57421875,50,,134.775802612305,1671011242,3189866,13.8745687325148,58.3884992461637
1674,6.22109365463257,1.00812494754791,100.828201293945,2.57265615463257,-1.36652338504791,897.890625,11.6640625,50,,178.912261962891,1453439914,3189866,-76.9333297625102,44.4417287493915
000000000000000001fc,8.14882850646973,1.57683598995209,62.1995315551758,2.79085946083069,-0.574374973773956,1011.4921875,68.88671875,51,,1044.07238769531,4852809756,3189866,-122.311340419195,41.3195197009814
000000000000000002af,10.154296875,1.22980463504791,86.9376525878906,2.86351561546326,-0.787070333957672,975.296875,16.93359375,51,,345.847229003906,4606633898,3189866,-80.0980786349703,40.3737622039497
000000000000000003c7,4.94960927963257,0.843085944652557,107.348594665527,2.46265625953674,-1.37781250476837,579.02734375,31.4296875,51,,97.8051681518555,4507568193,3189866,40.8617617641378,54.555652181068
60000000,14.0753908157349,1.3055077791214,95.3386688232422,3.40964841842651,-0.638164043426514,837.40625,42.45703125,51,,359.568328857422,4080959984,3189866,-96.9986780652734,37.2280982839984
861,14.8351564407349,0.697499990463257,54.0133590698242,2.69250011444092,0.455976575613022,758.3515625,23.390625,51,,289.229949951172,3997890048,3189866,2.48531118584543,41.6941599941887
897,10.3960933685303,1.13816404342651,88.4875793457031,2.8801953792572,-0.747695326805115,1124.98046875,12.6875,51,,120.730903625488,3961366799,3189866,-76.0065189858547,40.3710778251155
000000000000000008b8,14.1285676956177,0.666551113128662,36.8350715637207,2.33707356452942,0.65796971321106,1442.16882324219,49.9134178161621,51,,186.84797668457,3960163591,3189866,-8.75606027438636,42.2132617842246
00000000000000000bbd,6.51328134536743,1.07023441791534,103.184257507324,2.64339852333069,-1.42429685592651,893.44140625,16.4375,51,,101.491470336914,3953683573,3189866,-75.3929422217995,44.755051944013
00000000000000000c44,8.18593788146973,1.00160157680511,72.0432815551758,2.38750004768372,-0.615000009536743,967.61328125,21.13671875,51,,424.702301025391,3952362863,3189866,13.5126502546129,48.5648722112687
00000000000000000ed9,12.8048505783081,0.754231035709381,30.0313034057617,2.14766263961792,0.526930809020996,1371.03820800781,25.0994129180908,51,,132.089935302734,3773194462,3189866,174.967549324526,-41.1771183088396
00000000000000000f22,13.0945310592651,1.28371095657349,84.4204330444336,3.10230469703674,-0.525273442268372,1234.64453125,15.484375,51,,203.765640258789,3759742501,3189866,-85.4543909522789,37.8099084121489
00000000000000000f79,8.01640605926514,0.819999992847443,99.6674194335938,2.63238286972046,-0.927734375,519.75390625,19.625,51,,97.675666809082,3466425235,3189866,36.9329280897656,49.2444882619254
1200000,8.35273456573486,1.15289068222046,104.485549926758,2.87554693222046,-1.26558589935303,898.35546875,34.7734375,51,,244.704208374023,2868336730,3189866,-88.8425497057187,42.3601579502282
1688,7.68281269073486,1.16562497615814,106.317344665527,2.86429691314697,-1.37265622615814,805.63671875,37.23046875,51,,273.336242675781,1291676884,3189866,-88.9350582161735,43.4014606055321
185,6.40742206573486,1.05617189407349,106.719375610352,2.6878125667572,-1.46875,962.0703125,14.46875,52,,30.6067409515381,4863657931,3189866,-73.4445692302037,45.4338386018737
527,6.69492197036743,1.13820314407349,100.880310058594,2.6868360042572,-1.3857421875,787.484375,22.91015625,52,,215.2783203125,4172088473,3189866,-73.5232991184033,44.5793990353156
